Cas,FVE_vyroba_kW,Spotreba_kW,Cena_nakup_Kc_kWh,Cena_prodej_Kc_kWh,Pozadavek_TUV_kW,Pozadavek_topeni_kW,Venkovni_teplota_C,Baterie_vykon_kW,Baterie_nabijeni_kW,Baterie_vybijeni_kW,Baterie_SOC_kWh,Baterie_SOC_procenta,Sit_nakup_kW,Sit_prodej_kW,Naklady_nakup_Kc,Prijmy_prodej_Kc,Celkove_naklady_Kc,Ohrev_dolni_kW,Ohrev_horni_kW,Ohrev_celkem_kW,Odber_dolni_kW,Odber_horni_kW,Akumulace_dolni_kWh,Akumulace_horni_kWh,Akumulace_dolni_procenta,Akumulace_horni_procenta,Teplota_dolni_C,Teplota_horni_C,Rezim_menic,Horni_akumulace,Dolni_akumulace,Maximalni_ohrev,Blokovani_ohrevu,Cilovy_SOC_procenta,Rezervovany_vykon_W,Minimalni_SOC_procenta,FVE_prebytek_kW,Nevyuzita_FVE_kW,Energeticka_bilance_kW
2025-07-09T15:00:00+02:00,5.0698,0.75,3.5553097,0.8,1.0,1.9428571428571428,14.0,4.060612,4.060612,0.0,14.580177,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.345924,6.2865988,56.68520636025061,40.09630104440724,61.176863498137834,63.04333546998326,Manual,False,False,False,False,83,4060,30,4.3198,0.0,0.259188
2025-07-09T16:00:00+02:00,4.3858,0.75,3.7393113999999996,1.41,0.0,1.7485714285714284,14.8,0.44577577,0.44577577,0.0,14.999206,86,0.0,0.0,0.0,0.0,0.0,0.0,3.1615705,3.1615705,0.0,0.0,23.86218,10.613194,53.36686867306336,67.69158255600733,59.35177777018485,75.4612121502033,Back Up Mode,True,False,False,False,86,445,30,3.6357999999999997,0.0,0.028453729999999844
2025-07-09T17:00:00+02:00,3.5931,0.75,3.8762108,1.51,0.0,1.7485714285714284,14.8,0.0,0.0,0.0,14.999206,86,0.0,0.0,0.0,0.0,0.0,0.0,2.8431,2.8431,0.0,0.0,23.807145,13.160321,53.243784964138946,83.93731005341624,59.28408173027642,82.7717895240373,Back Up Mode,True,False,False,False,86,0,30,2.8431,0.0,0.0
2025-07-09T18:00:00+02:00,2.6648,0.75,4.4724504,1.95,5.0,1.9185714285714286,14.1,0.0,0.0,0.0,14.999206,86,0.0,0.0,0.0,0.0,0.0,0.0,1.9148,1.9148,0.0,5.0,24.490102,9.0197134,54.77119262464396,57.52826851630392,60.12415594355418,70.88772083233677,Back Up Mode,True,False,False,False,86,0,30,1.9148,0.0,0.0
2025-07-09T19:00:00+02:00,1.2731,0.75,5.5927561,2.32,0.0,2.1614285714285715,13.1,0.491714,0.491714,0.0,15.461417,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.898613,9.2718443,53.44834970817272,59.136374392091206,59.396592339495,71.61136847644104,Back Up Mode,False,False,False,False,88,491,30,0.5230999999999999,0.0,0.031385999999999914
2025-07-09T20:00:00+02:00,0.211,0.75,5.564693199999999,2.76,0.0,2.282857142857143,12.6,-0.57340426,0.0,0.57340426,14.851412,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.454004,9.3767153,52.45399839098954,59.80524786733636,58.84969911504425,71.91236154030136,Back Up Mode,False,False,False,False,85,0,30,0,0.0,0.034404259999999964
2025-07-09T21:00:00+02:00,0.0,0.5,5.5500764,2.75,0.0,2.4042857142857144,12.1,-0.53191489,0.0,0.53191489,14.285545,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.095506,9.395908,51.652231088691266,59.92766004942996,58.4087270987802,71.96744702224348,Back Up Mode,False,False,False,False,82,0,30,0,0.0,0.03191489000000003
2025-07-09T22:00:00+02:00,0.0,0.5,4.9529535,2.31,0.0,2.452857142857143,11.9,-0.53191489,0.0,0.53191489,13.719679,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.787681,9.3653323,50.963792046269916,59.73264641632783,58.03008562544846,71.87969088734752,Back Up Mode,False,False,False,False,78,0,30,0,0.0,0.03191489000000003
2025-07-09T23:00:00+02:00,0.0,0.5,4.5649065,2.02,0.0,2.452857142857143,11.9,-0.53191489,0.0,0.53191489,13.153812,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.50986,9.3059273,50.34245582210184,59.35375779319142,57.688350702156015,71.70919100693615,Back Up Mode,False,False,False,False,75,0,30,0,0.0,0.03191489000000003
2025-07-10T00:00:00+02:00,0.0,0.5,4.4557402999999995,1.94,0.0,2.3800000000000003,12.2,-0.53191489,0.0,0.53191489,12.587945,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.249988,9.2299027,49.76126186179283,58.86886837279757,57.368694023986066,71.49099076775892,Back Up Mode,False,False,False,False,72,0,30,0,0.0,0.03191489000000003
2025-07-10T01:00:00+02:00,0.0,0.5,4.3012353999999995,1.82,0.0,2.4285714285714284,12.0,-0.53191489,0.0,0.53191489,12.022078,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.001035,9.1443775,49.204487834576334,58.3233835605517,57.062468309016985,71.24552260224826,Back Up Mode,False,False,False,False,69,0,30,0,0.0,0.03191489000000003
2025-07-10T02:00:00+02:00,0.0,0.5,4.1034851,1.68,0.0,2.4285714285714284,12.0,-0.17566379,0.0,0.17566379,11.835201,68,0.33487604,0.0,1.374158840487004,0.0,1.374158840487004,0.0,0.0,0.0,0.0,0.0,21.758899,9.053502,48.66295977163234,57.74377421669457,56.76462787439779,70.98469839751256,Back Up Mode,False,False,False,False,68,0,30,0,0.0,0.010539829999999917
2025-07-10T03:00:00+02:00,0.0,0.5,4.0229596,1.62,0.0,2.4285714285714284,12.0,0.0,0.0,0.0,11.835201,68,0.5,0.0,2.0114798,0.0,2.0114798,0.0,0.0,0.0,0.0,0.0,21.521184,8.9596957,48.13131910901823,57.14547205612692,56.472225509960026,70.71546242525712,Back Up Mode,False,False,False,False,68,0,30,0,0.0,0.0
2025-07-10T04:00:00+02:00,0.0,0.5,4.0638213,1.65,0.0,2.4285714285714284,12.0,0.0,0.0,0.0,11.835201,68,0.5,0.0,2.03191065,0.0,2.03191065,0.0,0.0,0.0,0.0,0.0,21.286493,8.8643685,47.60644150874239,56.53746950490313,56.18354282980832,70.44186127720641,Back Up Mode,False,False,False,False,68,0,30,0,0.0,0.0
2025-07-10T05:00:00+02:00,0.0972,0.5,4.3838542,1.89,0.0,2.4285714285714284,12.0,-0.42851064,0.0,0.42851064,11.379339,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.054008,8.7683419,47.08649754455064,55.92500613888224,55.89757364950285,70.16625276249701,Back Up Mode,False,False,False,False,65,0,30,0,0.0,0.025710640000000007
2025-07-10T06:00:00+02:00,0.463,1.25,4.646037,2.08,1.2,2.21,12.9,-0.83723404,0.0,0.83723404,10.488665,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,20.823251,7.4720938,46.57041818740934,47.657458662202025,55.61373000307513,66.44585639799091,Back Up Mode,False,False,False,False,60,0,30,0,0.0,0.05023404000000009
2025-07-10T07:00:00+02:00,1.207,1.25,4.654386000000001,2.09,0.05,2.0885714285714285,13.4,-0.045744681,0.0,0.045744681,10.44,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,20.249525,7.6804967,45.28730155278828,48.986664753248824,54.90801585403355,67.04399913896196,Back Up Mode,False,False,False,False,60,0,30,0,0.0,0.0027446810000000266
2025-07-10T08:00:00+02:00,2.2565,1.25,5.1996392,2.03,0.0,1.9914285714285713,13.8,0.081538713,0.081538713,0.0,10.516646,60,0.0,0.0,0.0,0.0,0.0,0.0,0.91975669,0.91975669,0.0,0.0,19.807891,8.7265028,44.29960371128513,55.65815387068484,54.36478204120682,70.04616924180819,Back Up Mode,True,False,False,False,60,81,30,1.0065,0.0,0.0052045969999998665
2025-07-10T09:00:00+02:00,3.0846,1.0,4.079031,1.66,0.0,1.8457142857142856,14.4,0.094366443,0.094366443,0.0,10.605351,60,0.0,0.0,0.0,0.0,0.0,0.0,1.9842102,1.9842102,0.0,0.0,19.722112,10.473549,44.107762201921496,66.80091844056446,54.25926921105682,75.060413298254,Back Up Mode,True,False,False,False,60,94,30,2.0846,0.0,0.006023357000000118
2025-07-10T10:00:00+02:00,3.8314,1.0,3.8207323,1.47,0.0,1.3600000000000003,16.4,0.068632657,0.068632657,0.0,10.669866,61,0.0,0.0,0.0,0.0,0.0,0.0,2.7583865,2.7583865,0.0,0.0,20.148563,12.467976,45.061503834601176,79.52149246591725,54.78382710903065,80.78467160966277,Back Up Mode,True,False,False,False,61,68,30,2.8314,0.0,0.004380842999999857
2025-07-10T11:00:00+02:00,5.2674,1.0,3.3945098,1.15,0.0,1.0442857142857145,17.7,0.251356,0.251356,0.0,10.90614,62,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,21.093715,15.167128,47.17530075760164,96.73684445507453,55.94641541668091,88.53158000478354,Back Up Mode,True,False,False,False,62,251,30,4.2674,0.0,0.016043999999999947
2025-07-10T12:00:00+02:00,6.2178,0.75,3.4172124,0.7,0.0,0.995714285714286,17.9,1.8703138,1.8703138,0.0,12.664235,72,0.0,0.0,0.0,0.0,0.0,0.98430589,2.4937985,3.47810439,0.0,0.0,23.678794,15.67875,52.95673277690976,100.0,59.12620302730038,90.0,Back Up Mode,True,True,False,False,72,1870,30,5.4678,0.0,0.11938181000000059
2025-07-10T13:00:00+02:00,6.241,0.75,2.6193232999999996,0.57,0.0,0.7528571428571432,18.9,0.0,0.0,0.0,12.664235,72,0.0,0.0,0.0,0.0,0.0,3.6756204,1.8153796,5.491,0.0,0.0,28.776362,15.67875,64.35725200893343,100.0,65.39648860491339,90.0,Back Up Mode,True,True,False,False,72,0,30,5.491,0.0,-4.440892098500626e-16
2025-07-10T14:00:00+02:00,5.9865,0.75,2.6166371,0.57,0.0,0.7528571428571432,18.9,0.0,0.0,0.0,12.664235,72,0.0,0.0,0.0,0.0,0.0,4.0481489,1.1883511,5.2365,0.0,0.0,33.604267,15.67875,75.15468007715795,100.0,71.33507404243687,90.0,Back Up Mode,True,True,False,False,72,0,30,5.2365,0.0,2.220446049250313e-16
2025-07-10T15:00:00+02:00,5.319,0.75,3.7518621,0.95,1.0,1.0199999999999998,17.8,0.0,0.0,0.0,12.664235,72,0.0,0.0,0.0,0.0,0.0,3.208798,1.360202,4.569,0.0,1.0,36.984602,15.444459,82.71467224953952,98.50567806744797,75.49306973724674,89.32755513035158,Back Up Mode,True,True,False,False,72,0,30,4.569,0.0,2.220446049250313e-16
2025-07-10T16:00:00+02:00,4.4931,0.75,3.7291716,1.4,0.0,1.7485714285714284,14.8,0.0,0.0,0.0,12.664235,72,0.0,0.0,0.0,0.0,0.0,3.7431,0.0,3.7431,0.0,0.0,40.40614,15.334998,90.36681338274259,97.80752929921071,79.70174736050842,89.01338818464482,Back Up Mode,False,True,False,False,72,0,30,3.7431,0.0,0.0
2025-07-10T17:00:00+02:00,3.7795,0.75,4.040552999999999,1.63,0.0,2.015714285714286,13.7,0.0,0.0,0.0,12.664235,72,0.0,0.0,0.0,0.0,0.0,3.0295,0.0,3.0295,0.0,0.0,42.651616,15.67875,95.38873605705463,100.0,82.46380483138006,90.0,Back Up Mode,False,True,False,False,72,0,30,3.0295,0.0,0.0
2025-07-10T18:00:00+02:00,2.7158,0.75,4.4294953999999995,1.92,5.0,2.1614285714285715,13.1,0.0,0.0,0.0,12.664235,72,0.0,0.0,0.0,0.0,0.0,0.0,1.9658,1.9658,0.0,5.0,41.683369,13.162931,93.22328803461548,83.95395678864706,81.27280841903851,82.77928055489117,Back Up Mode,True,False,False,False,72,0,30,1.9658000000000002,0.0,2.220446049250313e-16
2025-07-10T19:00:00+02:00,1.5288,0.75,5.4281114,2.2,0.0,2.3314285714285714,12.4,0.0,0.0,0.0,12.664235,72,0.0,0.0,0.0,0.0,0.0,0.0,0.7788,0.7788,0.0,0.0,40.115029,15.084425,89.7157545730997,96.20935980228015,79.34366501520485,88.29421191102608,Back Up Mode,True,False,False,False,72,0,30,0.7787999999999999,0.0,-1.1102230246251565e-16
2025-07-10T20:00:00+02:00,0.315,0.75,5.3931878,2.64,0.0,2.525714285714286,11.6,-0.46276596,0.0,0.46276596,12.171931,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.295761,15.466412,87.88349248455442,98.64569560711153,78.33592086650495,89.3905630232002,Back Up Mode,False,False,False,False,69,0,30,0,0.0,0.02776595999999998
2025-07-10T21:00:00+02:00,0.0,0.5,5.3911066000000005,2.63,0.0,2.55,11.5,-0.53191489,0.0,0.53191489,11.606064,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.68934,15.634749,86.52725471132551,99.71935900502271,77.58999009122903,89.87371155226023,Back Up Mode,False,False,False,False,66,0,30,0,0.0,0.03191489000000003
2025-07-10T22:00:00+02:00,0.0,0.5,5.0343744,2.37,0.0,2.6714285714285713,11.0,-0.53191489,0.0,0.53191489,11.040197,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.207631,15.67875,85.4499306386032,100.0,76.99746185123176,90.0,Back Up Mode,False,False,False,False,63,0,30,0,0.0,0.03191489000000003
2025-07-10T23:00:00+02:00,0.0,0.5,4.6472228,2.08,0.0,2.5742857142857143,11.4,-0.56197211,0.0,0.56197211,10.442354,60,0.0,0.0,0.0,0.0,0.0,0.0,0.028253787,0.028253787,0.0,0.0,37.799237,15.67875,84.53657280772325,100.0,76.4951150442478,90.0,Back Up Mode,False,False,False,False,60,0,30,0,0.0,0.03371832300000002
